datetime,location,temperature_C,feels_like_C,humidity_%,dew_point_C,pressure_hPa,wind_speed_kmph,wind_direction_deg,cloud_cover_%,uv_index,solar_radiation_Wm2,precipitation_mm,visibility_km,weather_condition,is_daytime,season,holiday_flag
2025-03-02 12:00:00,New Delhi,29.3,29.992450932987666,55,20.3,1006.7,11.8,344,90,7,552.0,0.0,5.5,Fog,1,Spring,1
2025-03-02 13:00:00,New Delhi,28.2,29.437252618893524,77,23.6,1010.8,17.3,326,96,9,404.8,0.0,5.2,Sunny,1,Spring,1
2025-03-02 14:00:00,New Delhi,23.5,24.776467549738886,45,12.5,1000.3,15.2,253,54,4,606.0,0.0,7.3,Fog,1,Spring,1
2025-03-02 15:00:00,New Delhi,24.5,25.357248965566203,79,20.3,1012.3,22.9,78,3,2,500.1,0.0,9.8,Sunny,1,Spring,1
2025-03-02 16:00:00,New Delhi,26.3,27.863186293690283,72,20.7,999.0,22.4,306,88,1,503.3,0.0,5.6,Sunny,1,Spring,1
2025-03-02 17:00:00,New Delhi,17.6,19.092186241847692,64,10.4,1014.2,15.4,166,3,11,435.7,0.0,9.8,Cloudy,1,Spring,1
2025-03-02 18:00:00,New Delhi,19.6,20.312967520107026,76,14.8,1005.7,14.6,310,77,8,299.9,0.0,6.2,Rain,1,Spring,1
2025-03-02 19:00:00,New Delhi,25.9,27.293419661675397,58,17.5,1008.3,16.6,64,62,2,0.0,0.0,6.9,Fog,0,Spring,1
2025-03-02 20:00:00,New Delhi,25.6,26.442995810202895,63,18.2,1018.7,17.5,193,32,6,0.0,0.0,8.4,Clear,0,Spring,1
2025-03-02 21:00:00,New Delhi,29.1,29.462540615154015,89,26.9,1008.1,19.1,297,16,11,0.0,0.0,9.2,Cloudy,0,Spring,1
2025-03-02 22:00:00,New Delhi,34.0,35.6675230693904,84,30.8,1013.6,11.9,214,35,8,0.0,0.0,8.2,Fog,0,Spring,1
2025-03-02 23:00:00,New Delhi,30.3,31.483487509357868,66,23.5,1015.5,24.4,85,99,5,0.0,0.0,5.0,Sunny,0,Spring,1
2025-03-03 00:00:00,New Delhi,23.4,24.262210639772395,63,16.0,1013.8,7.8,181,33,1,0.0,0.0,8.3,Clear,0,Spring,0
2025-03-03 01:00:00,New Delhi,32.6,33.96566630720429,47,22.0,1021.7,20.7,286,91,1,0.0,0.0,5.5,Clear,0,Spring,0
2025-03-03 02:00:00,New Delhi,22.6,23.951460251264884,56,13.8,1010.6,15.5,202,43,6,0.0,0.0,7.8,Clear,0,Spring,0
2025-03-03 03:00:00,New Delhi,20.5,21.614121241569556,36,7.7,1014.7,9.5,154,55,8,0.0,0.0,7.2,Rain,0,Spring,0
2025-03-03 04:00:00,New Delhi,33.1,33.501042875909114,88,30.7,1010.6,13.3,248,5,3,0.0,0.0,9.8,Sunny,0,Spring,0
2025-03-03 05:00:00,New Delhi,23.0,24.030226663146685,72,17.4,1012.7,18.9,159,49,8,0.0,0.0,7.5,Thunderstorm,0,Spring,0
2025-03-03 06:00:00,New Delhi,27.4,28.96414098161634,66,20.6,1002.6,21.2,256,95,7,497.3,0.0,5.2,Thunderstorm,1,Spring,0
2025-03-03 07:00:00,New Delhi,28.0,28.337209008308967,78,23.6,1002.8,23.7,16,67,2,371.5,0.0,6.7,Cloudy,1,Spring,0
2025-03-03 08:00:00,New Delhi,27.7,28.738714412944283,66,20.9,1006.1,12.9,106,66,6,580.6,0.0,6.7,Sunny,1,Spring,0
2025-03-03 09:00:00,New Delhi,36.9,38.527322006571154,56,28.1,1009.0,7.9,351,82,6,424.9,0.0,5.9,Thunderstorm,1,Spring,0
2025-03-03 10:00:00,New Delhi,26.4,27.44372210590016,63,19.0,997.9,14.4,282,2,7,0.0,0.0,9.9,Rain,1,Spring,0
2025-03-03 11:00:00,New Delhi,22.3,23.62120685553749,70,16.3,1019.7,20.0,98,34,9,782.4,0.0,8.3,Rain,1,Spring,0
2025-03-03 12:00:00,New Delhi,22.3,22.98365931434962,64,15.1,1014.5,19.7,65,58,0,690.3,0.0,7.1,Sunny,1,Spring,0
2025-03-03 13:00:00,New Delhi,34.7,34.47785202343551,89,32.5,1016.0,15.6,221,90,6,394.8,0.0,5.5,Fog,1,Spring,0
2025-03-03 14:00:00,New Delhi,37.7,38.708087842738664,38,25.3,1002.5,21.2,338,23,9,373.6,0.0,8.8,Thunderstorm,1,Spring,0
2025-03-03 15:00:00,New Delhi,28.3,29.37832875139504,81,24.5,1005.5,16.7,222,20,8,378.9,0.0,9.0,Thunderstorm,1,Spring,0
2025-03-03 16:00:00,New Delhi,21.1,22.053182028421833,77,16.5,1015.6,24.0,122,14,0,556.3,0.0,9.3,Sunny,1,Spring,0
2025-03-03 17:00:00,New Delhi,29.2,30.772345381901797,60,21.2,1008.5,16.3,191,78,7,652.0,0.1,6.1,Sunny,1,Spring,0
2025-03-03 18:00:00,New Delhi,37.1,38.732632482017095,45,26.1,1003.9,20.7,15,74,8,447.3,0.0,6.3,Sunny,1,Spring,0
2025-03-03 19:00:00,New Delhi,40.1,41.058211622302096,59,31.9,1016.7,11.0,224,49,7,0.0,0.0,7.5,Clear,0,Spring,0
2025-03-03 20:00:00,New Delhi,25.7,27.183915223086792,44,14.5,1001.4,14.0,347,66,4,0.0,0.0,6.7,Clear,0,Spring,0
2025-03-03 21:00:00,New Delhi,35.5,36.325077554664034,59,27.3,1017.8,12.5,224,4,1,0.0,0.0,9.8,Thunderstorm,0,Spring,0
2025-03-03 22:00:00,New Delhi,21.9,23.29754687787064,58,13.5,998.8,24.4,66,18,3,0.0,0.0,9.1,Thunderstorm,0,Spring,0
2025-03-03 23:00:00,New Delhi,20.0,21.7529499070768,68,13.6,1019.4,23.2,101,33,6,0.0,0.0,8.3,Sunny,0,Spring,0
2025-03-04 00:00:00,New Delhi,27.6,28.62747728220019,71,21.8,1010.0,21.1,304,40,6,0.0,0.0,8.0,Rain,0,Spring,0
2025-03-04 01:00:00,New Delhi,29.5,30.612918720728686,81,25.7,1014.9,15.5,256,13,7,0.0,0.0,9.3,Cloudy,0,Spring,0
2025-03-04 02:00:00,New Delhi,27.5,28.964749467346753,64,20.3,1011.7,21.0,22,11,5,0.0,0.0,9.4,Clear,0,Spring,0
2025-03-04 03:00:00,New Delhi,30.5,32.01386298992627,43,19.1,1016.2,25.0,291,23,4,0.0,0.0,8.8,Sunny,0,Spring,0
2025-03-04 04:00:00,New Delhi,29.9,31.117278995097898,74,24.7,1005.9,22.3,187,63,1,0.0,0.0,6.8,Cloudy,0,Spring,0
2025-03-04 05:00:00,New Delhi,31.4,33.069109181635795,70,25.4,1002.3,10.5,143,8,10,0.0,0.0,9.6,Rain,0,Spring,0
2025-03-04 06:00:00,New Delhi,35.4,36.048289531577296,84,32.2,1014.1,16.0,141,48,7,609.0,0.0,7.6,Rain,1,Spring,0
2025-03-04 07:00:00,New Delhi,25.9,27.29272967038731,48,15.5,1005.7,18.5,264,94,1,261.5,0.0,5.3,Cloudy,1,Spring,0
2025-03-04 08:00:00,New Delhi,23.4,24.133698666711965,59,15.2,1012.1,11.1,192,96,1,788.5,0.0,5.2,Thunderstorm,1,Spring,0
2025-03-04 09:00:00,New Delhi,19.7,20.336595671430207,100,19.7,1004.2,11.9,34,41,1,491.3,0.0,8.0,Fog,1,Spring,0
2025-03-04 10:00:00,New Delhi,30.4,31.97479994457818,82,26.8,999.3,9.8,346,67,8,315.6,0.0,6.7,Rain,1,Spring,0
2025-03-04 11:00:00,New Delhi,29.9,30.73993439067034,69,23.7,1007.7,16.6,357,87,3,668.0,0.0,5.7,Sunny,1,Spring,0
2025-03-04 12:00:00,New Delhi,28.3,30.07248466040106,32,14.7,1000.6,19.0,22,35,9,547.0,0.0,8.2,Clear,1,Spring,0
2025-03-04 13:00:00,New Delhi,36.6,37.026342194515124,53,27.2,1013.2,7.7,349,67,3,570.3,0.0,6.7,Sunny,1,Spring,0
2025-03-04 14:00:00,New Delhi,28.9,29.957859226970054,38,16.5,1011.5,17.2,69,51,6,434.8,0.0,7.5,Thunderstorm,1,Spring,0
2025-03-04 15:00:00,New Delhi,30.4,32.864032418221214,48,20.0,1018.1,16.5,37,90,5,511.3,0.0,5.5,Clear,1,Spring,0
2025-03-04 16:00:00,New Delhi,32.6,34.529765753347654,86,29.8,1009.0,16.9,92,23,8,565.6,0.0,8.8,Clear,1,Spring,0
2025-03-04 17:00:00,New Delhi,30.3,31.17226028825869,54,21.1,1007.7,17.8,329,56,2,418.6,0.2,7.2,Rain,1,Spring,0
2025-03-04 18:00:00,New Delhi,33.6,34.54033872113583,64,26.4,1007.2,13.9,120,10,9,315.9,0.0,9.5,Clear,1,Spring,0
2025-03-04 19:00:00,New Delhi,23.8,25.349425969970472,60,15.8,1010.1,9.1,201,89,5,0.0,0.0,5.5,Sunny,0,Spring,0
2025-03-04 20:00:00,New Delhi,28.6,29.38476303901315,64,21.4,1013.3,13.3,154,79,1,0.0,0.0,6.0,Rain,0,Spring,0
2025-03-04 21:00:00,New Delhi,21.9,22.94201937529253,67,15.3,1008.6,21.8,3,48,7,0.0,0.0,7.6,Cloudy,0,Spring,0
2025-03-04 22:00:00,New Delhi,30.5,31.525239479402003,55,21.5,1006.5,18.1,0,51,6,0.0,0.0,7.5,Sunny,0,Spring,0
2025-03-04 23:00:00,New Delhi,30.5,31.67838314168088,81,26.7,1011.2,10.6,205,81,6,0.0,0.0,6.0,Cloudy,0,Spring,0
2025-03-05 00:00:00,New Delhi,24.2,25.524208719970716,34,11.0,1009.2,11.6,244,40,9,0.0,0.0,8.0,Cloudy,0,Spring,0
2025-03-05 01:00:00,New Delhi,31.8,32.14128654066028,23,16.4,1008.2,22.3,234,20,5,0.0,0.0,9.0,Cloudy,0,Spring,0
2025-03-05 02:00:00,New Delhi,38.8,40.63509947700912,62,31.2,1003.2,12.8,312,40,4,0.0,0.0,8.0,Sunny,0,Spring,0
2025-03-05 03:00:00,New Delhi,30.6,31.77861082757149,79,26.4,1009.6,20.5,153,11,2,0.0,0.0,9.4,Thunderstorm,0,Spring,0
2025-03-05 04:00:00,New Delhi,20.3,21.391903108557266,79,16.1,1019.8,4.7,76,10,7,0.0,0.0,9.5,Clear,0,Spring,0
2025-03-05 05:00:00,New Delhi,24.1,25.56306341523268,52,14.5,1008.9,21.4,252,100,2,0.0,0.0,5.0,Cloudy,0,Spring,0
2025-03-05 06:00:00,New Delhi,26.8,27.326691627036453,73,21.4,1002.8,16.8,121,96,6,552.5,0.0,5.2,Thunderstorm,1,Spring,0
2025-03-05 07:00:00,New Delhi,29.5,30.189662996623227,89,27.3,1013.8,11.6,227,71,6,527.5,0.1,6.5,Thunderstorm,1,Spring,0
2025-03-05 08:00:00,New Delhi,34.0,34.335963949699064,74,28.8,1016.2,15.0,318,68,3,445.4,0.0,6.6,Sunny,1,Spring,0
2025-03-05 09:00:00,New Delhi,23.7,24.340987885830334,50,13.7,1013.1,21.1,214,91,3,288.5,0.0,5.5,Fog,1,Spring,0
2025-03-05 10:00:00,New Delhi,22.4,23.17856518751534,75,17.4,1009.0,15.0,237,45,3,557.3,0.0,7.8,Sunny,1,Spring,0
2025-03-05 11:00:00,New Delhi,32.4,33.68446899128748,72,26.8,1004.3,20.8,230,45,7,598.0,0.0,7.8,Cloudy,1,Spring,0
2025-03-05 12:00:00,New Delhi,29.0,30.437961105628165,58,20.6,1012.2,8.5,243,63,8,764.4,0.0,6.8,Rain,1,Spring,0
2025-03-05 13:00:00,New Delhi,30.6,30.647356189339575,82,27.0,1014.7,15.6,312,37,8,388.0,0.0,8.2,Clear,1,Spring,0
2025-03-05 14:00:00,New Delhi,20.2,21.117889149228745,61,12.4,1016.5,15.4,275,42,5,567.8,0.0,7.9,Sunny,1,Spring,0
2025-03-05 15:00:00,New Delhi,34.8,36.6540081646535,72,29.2,1011.9,7.4,126,61,4,882.7,0.0,7.0,Sunny,1,Spring,0
2025-03-05 16:00:00,New Delhi,33.7,34.76386152579819,93,32.3,1009.2,17.7,343,38,2,547.1,0.1,8.1,Clear,1,Spring,0
2025-03-05 17:00:00,New Delhi,23.5,25.36853236866533,70,17.5,1001.5,11.6,345,42,0,267.7,0.0,7.9,Clear,1,Spring,0
2025-03-05 18:00:00,New Delhi,31.2,32.817279695030344,56,22.4,1014.8,6.2,290,66,6,720.6,0.0,6.7,Sunny,1,Spring,0
2025-03-05 19:00:00,New Delhi,34.3,37.10011187766679,76,29.5,1006.7,14.3,308,32,6,0.0,0.0,8.4,Sunny,0,Spring,0
2025-03-05 20:00:00,New Delhi,30.5,31.70972855153912,69,24.3,1009.4,16.7,166,79,2,0.0,0.0,6.0,Sunny,0,Spring,0
2025-03-05 21:00:00,New Delhi,34.3,35.40833982563185,75,29.3,1004.6,14.1,287,84,2,0.0,0.0,5.8,Fog,0,Spring,0
2025-03-05 22:00:00,New Delhi,25.3,25.50319486640678,45,14.3,1010.1,24.4,282,61,0,0.0,0.0,7.0,Fog,0,Spring,0
2025-03-05 23:00:00,New Delhi,24.5,24.907866458951826,64,17.3,1012.7,16.3,147,10,3,0.0,0.0,9.5,Clear,0,Spring,0
2025-03-06 00:00:00,New Delhi,28.5,30.030046858925324,91,26.7,1005.8,12.1,22,64,11,0.0,0.0,6.8,Rain,0,Spring,0
2025-03-06 01:00:00,New Delhi,28.8,29.23127551425123,43,17.4,1005.1,4.8,58,15,2,0.0,0.0,9.2,Rain,0,Spring,0
2025-03-06 02:00:00,New Delhi,28.9,29.894463231176584,73,23.5,1010.1,11.3,189,32,1,0.0,0.0,8.4,Rain,0,Spring,0
2025-03-06 03:00:00,New Delhi,30.3,30.752508213543493,41,18.5,1007.3,11.3,176,49,1,0.0,0.0,7.5,Sunny,0,Spring,0
2025-03-06 04:00:00,New Delhi,24.4,25.55827562870748,60,16.4,1010.9,14.9,299,78,2,0.0,0.1,6.1,Rain,0,Spring,0
2025-03-06 05:00:00,New Delhi,21.6,22.685349931794086,48,11.2,1006.4,12.6,326,40,7,0.0,0.0,8.0,Clear,0,Spring,0
2025-03-06 06:00:00,New Delhi,42.1,43.51466202704318,84,38.9,1010.7,16.7,342,98,11,559.0,0.0,5.1,Fog,1,Spring,0
2025-03-06 07:00:00,New Delhi,17.8,18.358890181713363,45,6.8,1001.3,14.0,297,64,1,565.1,0.0,6.8,Thunderstorm,1,Spring,0
2025-03-06 08:00:00,New Delhi,33.0,33.06767119545527,75,28.0,1002.1,14.3,330,9,8,575.4,0.0,9.6,Rain,1,Spring,0
2025-03-06 09:00:00,New Delhi,33.7,34.80984490178697,58,25.3,1010.7,21.2,255,37,7,323.9,0.0,8.2,Clear,1,Spring,0
2025-03-06 10:00:00,New Delhi,30.8,31.456474427323975,86,28.0,1005.9,12.6,237,97,2,363.6,0.0,5.2,Fog,1,Spring,0
2025-03-06 11:00:00,New Delhi,34.7,35.4298778245105,60,26.7,1016.3,15.5,210,23,6,391.0,0.0,8.8,Fog,1,Spring,0
2025-03-06 12:00:00,New Delhi,34.2,34.500758873796194,52,24.6,1012.3,17.9,214,22,4,184.4,0.0,8.9,Clear,1,Spring,0
2025-03-06 13:00:00,New Delhi,26.3,26.821048632716774,54,17.1,1009.2,14.6,285,74,3,548.7,0.0,6.3,Rain,1,Spring,0
2025-03-06 14:00:00,New Delhi,26.9,28.77957108038918,49,16.7,1019.4,19.1,264,11,8,674.6,0.0,9.4,Clear,1,Spring,0
2025-03-06 15:00:00,New Delhi,27.3,28.49248692412727,68,20.9,1013.6,13.1,213,92,4,631.6,0.0,5.4,Clear,1,Spring,0
2025-03-06 16:00:00,New Delhi,25.3,25.928313844161895,23,9.9,1001.5,13.4,4,82,11,66.0,0.0,5.9,Clear,1,Spring,0
2025-03-06 17:00:00,New Delhi,29.2,30.228805263404094,75,24.2,1007.5,9.3,24,25,2,585.3,0.0,8.8,Fog,1,Spring,0
2025-03-06 18:00:00,New Delhi,33.7,33.94501289598148,80,29.7,1010.9,3.5,163,36,9,454.3,0.0,8.2,Rain,1,Spring,0
2025-03-06 19:00:00,New Delhi,32.6,33.51971407660112,78,28.2,1007.7,12.5,93,95,3,0.0,0.0,5.2,Sunny,0,Spring,0
2025-03-06 20:00:00,New Delhi,20.3,21.37698440599777,55,11.3,1009.3,16.3,76,42,0,0.0,0.4,7.9,Clear,0,Spring,0
2025-03-06 21:00:00,New Delhi,22.9,23.308230477162567,56,14.1,1009.4,18.0,189,43,0,0.0,0.0,7.8,Thunderstorm,0,Spring,0
2025-03-06 22:00:00,New Delhi,39.8,41.08998728782338,49,29.6,1013.8,15.1,349,10,4,0.0,0.6,9.5,Thunderstorm,0,Spring,0
2025-03-06 23:00:00,New Delhi,33.9,35.204782644337776,54,24.7,1007.9,19.6,320,45,5,0.0,0.0,7.8,Cloudy,0,Spring,0
2025-03-07 00:00:00,New Delhi,29.6,31.27755774562123,50,19.6,1007.9,18.1,311,35,11,0.0,0.0,8.2,Clear,0,Spring,0
2025-03-07 01:00:00,New Delhi,21.3,22.22567789684768,72,15.7,1008.6,17.0,26,70,1,0.0,0.0,6.5,Thunderstorm,0,Spring,0
2025-03-07 02:00:00,New Delhi,37.3,38.87613444473063,80,33.3,1008.1,19.1,149,0,7,0.0,0.0,10.0,Cloudy,0,Spring,0
2025-03-07 03:00:00,New Delhi,31.1,31.779822568079314,63,23.7,1001.5,14.1,157,6,0,0.0,0.0,9.7,Thunderstorm,0,Spring,0
2025-03-07 04:00:00,New Delhi,36.7,37.73560655816717,39,24.5,1007.7,16.7,11,66,7,0.0,0.0,6.7,Sunny,0,Spring,0
2025-03-07 05:00:00,New Delhi,32.4,33.50737952145109,61,24.6,1012.2,9.4,249,86,9,0.0,0.1,5.7,Thunderstorm,0,Spring,0
2025-03-07 06:00:00,New Delhi,24.2,25.30558918722513,48,13.8,1011.9,12.3,92,7,4,370.5,0.0,9.7,Thunderstorm,1,Spring,0
2025-03-07 07:00:00,New Delhi,28.0,29.104505966599362,84,24.8,1005.5,15.3,246,29,10,553.5,0.2,8.6,Fog,1,Spring,0
2025-03-07 08:00:00,New Delhi,30.3,30.99611984071472,50,20.3,1005.2,20.2,324,30,2,479.0,0.1,8.5,Sunny,1,Spring,0
2025-03-07 09:00:00,New Delhi,29.7,29.51297118474174,66,22.9,1013.3,11.1,280,25,11,401.3,0.0,8.8,Cloudy,1,Spring,0
2025-03-07 10:00:00,New Delhi,22.9,23.97894872508961,79,18.7,1004.2,8.3,176,91,7,460.1,0.0,5.5,Thunderstorm,1,Spring,0
2025-03-07 11:00:00,New Delhi,27.1,27.32894410502854,86,24.3,1008.8,7.3,357,14,4,392.1,0.0,9.3,Thunderstorm,1,Spring,0
2025-03-07 12:00:00,New Delhi,34.9,35.47066084962302,75,29.9,1003.6,20.7,304,56,8,280.2,0.0,7.2,Fog,1,Spring,0
2025-03-07 13:00:00,New Delhi,37.6,38.22481195151897,67,31.0,1013.5,22.9,322,32,2,860.7,0.0,8.4,Thunderstorm,1,Spring,0
2025-03-07 14:00:00,New Delhi,26.0,26.628342945926146,61,18.2,1009.3,15.4,308,84,3,550.6,0.0,5.8,Cloudy,1,Spring,0
2025-03-07 15:00:00,New Delhi,34.5,35.83089501109001,43,23.1,1006.0,10.0,109,33,9,510.1,0.0,8.3,Thunderstorm,1,Spring,0
2025-03-07 16:00:00,New Delhi,28.2,29.347474041940462,40,16.2,1006.1,14.9,24,40,3,514.6,0.0,8.0,Clear,1,Spring,0
2025-03-07 17:00:00,New Delhi,30.3,31.43424921346104,54,21.1,1006.6,23.0,331,74,4,525.6,0.0,6.3,Rain,1,Spring,0
2025-03-07 18:00:00,New Delhi,23.8,24.391191717858288,64,16.6,1012.1,14.0,205,36,10,482.0,0.0,8.2,Cloudy,1,Spring,0
2025-03-07 19:00:00,New Delhi,25.4,26.738541013823568,75,20.4,999.0,19.4,66,68,8,0.0,0.0,6.6,Rain,0,Spring,0
2025-03-07 20:00:00,New Delhi,32.4,33.66224380595892,75,27.4,1007.9,12.4,240,28,7,0.0,0.0,8.6,Cloudy,0,Spring,0
2025-03-07 21:00:00,New Delhi,20.7,22.009962577233534,79,16.5,1017.0,27.9,318,80,7,0.0,0.0,6.0,Fog,0,Spring,0
2025-03-07 22:00:00,New Delhi,29.7,30.815945378210007,91,27.9,1012.8,13.1,85,68,10,0.0,0.0,6.6,Thunderstorm,0,Spring,0
2025-03-07 23:00:00,New Delhi,26.8,28.484796096102105,48,16.4,1016.2,14.5,346,98,8,0.0,0.0,5.1,Cloudy,0,Spring,0
2025-03-08 00:00:00,New Delhi,25.5,26.437746145549045,59,17.3,1008.7,19.3,44,54,10,0.0,0.0,7.3,Clear,0,Spring,0
2025-03-08 01:00:00,New Delhi,26.0,26.665731337765674,54,16.8,1011.8,21.1,17,7,5,0.0,0.0,9.7,Fog,0,Spring,0
2025-03-08 02:00:00,New Delhi,30.3,31.91502533041429,70,24.3,1009.1,19.5,167,8,6,0.0,0.1,9.6,Cloudy,0,Spring,0
2025-03-08 03:00:00,New Delhi,30.2,30.6224792182105,68,23.8,1011.3,9.8,311,51,6,0.0,0.0,7.5,Sunny,0,Spring,0
2025-03-08 04:00:00,New Delhi,31.7,31.901451300433767,58,23.3,1004.1,14.2,174,38,8,0.0,0.0,8.1,Clear,0,Spring,0
2025-03-08 05:00:00,New Delhi,25.7,27.110931729349684,72,20.1,1011.0,10.0,83,95,9,0.0,0.0,5.2,Fog,0,Spring,0
2025-03-08 06:00:00,New Delhi,19.3,20.405671768809462,47,8.7,1016.3,9.1,120,64,7,609.9,0.0,6.8,Rain,1,Spring,0
2025-03-08 07:00:00,New Delhi,24.1,24.997799730195283,46,13.3,999.9,18.0,187,60,1,416.4,0.0,7.0,Cloudy,1,Spring,0
2025-03-08 08:00:00,New Delhi,29.5,30.636517291699562,55,20.5,1008.4,18.0,267,4,5,497.3,0.0,9.8,Thunderstorm,1,Spring,0
2025-03-08 09:00:00,New Delhi,29.1,30.25856519996644,51,19.3,1006.6,12.2,240,9,0,533.5,0.0,9.6,Sunny,1,Spring,0
